sha256,family,confidence
00013e39079f820cc8010fa9b6deb57290b6bee75365dfbe36b9348052760d08,zitmo,10.94
000473f7168ebda3de054a126352af81b61dd0be462ae9b3c7ccc0bc5cea7986,henbox,10.47
001f86c3f6bee9d3de52484e850a2708ac7832ad997b445fde53b02082fb16ac,hqwar,31.59
002a453edf22e506790823a697d31b20c1678096079864f067ae9ea6ad97a70d,GoldenEagle,26.21
002e568047074093ca43153b806fb29ec60bcf1b3040487f8ec727ace1209316,syringe,30.63
004542ceec2edc55d28350f3990143af4e5006592bbd72d5449d444e93a63fb8,ghimob,39.51
004873e6afaab2aa54c54c559f505f9b914d76355422f74b27bb10cfdd09378e,zitmo,40.28
00504b525e7f0e5c0df6f466f36ddb01569e23cae503124ddb58d52811662e1c,goontact,28.56
005d73e49d96b1d56bd864817ffa7581e7064a4e0571776d4b47394e35ef7819,hiddad,34.19
007587c4a84d18592bf4ef7ad828d5aaa7d50cadbbf8b0892590db48cca7487e,jocker,30.52
0080273a7785162631624c839673d58ad98f35ff30d902e30fb5e3ef2283ca53,SINGLETON:e14dc615a4dcc69c329e79402a8691de,0.00
008338b39c0abf3aa75e92e845c34ac60e049a480eb1e0ab8d3147085a7bb745,sharkbot,63.10
00833ff71a1709e60cb04acbcc7ceecd56323e693de3c424fb37205204d43105,flytrap,39.73
0095b2e65c4d4f5fb0df512f060f067be52c06903f619d7d017259c7caea61fa,hqwar,19.03
009969bd0502a6fe3fd15970a7382899fd5ed8482acb8b7166a13d643af66495,maikspy,28.63
00a0d2e255e0c806947dba0c4a8ca947ed7c34d6afbb6af69386d55ddaf309c2,bajaspy,41.84
00a5f79d610759c6dd88e1c6108be24daad5b18187f0abde7bd9056e0d513ee2,hqwar,17.52
00a733c78f1b4d4f54cf06a0ea8cc33604512d6032ef4ef9114c89c700bfafcf,vultur,46.00
00a8d6cebe47e58bdfcbee35e2923d29fe4d624697bcd9a11913c30540c36657,banbra,36.56
00c614ce1a21b1339133240403617e9edc9f2afc9df45bfa7de9def31be0930e,SINGLETON:43162a1c5494d6c84d940beaa7dbd507,0.00
00d35cf5af2431179b24002b3a4c7fb115380ebda496d78849bf3d10055d8a88,brokewell,34.76
00db5df2791b2ee2bd2d7e48f9a48babb1292e62ff01ce39d9e8a1f539f9995d,godfather,79.44
00e82927b20d2db5bdfc6bff77f6841d0e59af80adce3f86f90277669159e5f3,Golfspy,51.03
00e9529c895a6d60ac7c2ce8462b0b5f73ae77af250bed0b7ef40d7933185261,GoldenEagle,46.00
00ee123526f8fe7b4a8b05e88c0713ce1bc2fa9cbeb9f5bbee4f2eee3cda9a9b,grifthorse,86.89
00f9f51505658a8d007907e234fc112034c620b0dfeaec95aa19188b6644dffd,androrat,32.32
010ab96f779726e079b15c50b840bb2f9ad41b6ae50bddc31bae4c7eb81be797,godfather,79.44
010ff192c9e93accc92442b20747b38c3e83a8e5c0ac2a903ff1f5745a5017c3,boogr,30.91
011509bb9cde31c0b45c49747ff150abcfa66d283ff986f167bf564bacfded4d,henbox,43.36
012210e255afdc25e6ad333dea14e3a0a68aa27d9ebe4da5c303c415b522638c,banbra,73.77
012a0581ff00b3bf4f077a488b7704712fc1e44c7605814a4800c974e5e34004,GoldenEagle,86.84
0136e998df49df642c2df7a5ba0da9987e341b6554fa578e935fa15bdf31199f,mocen,39.37
01382646c08b3d7549b925e85dbe3e813362e8abbddbeec1257b4b5cf4387b3c,hiddad,81.56
014b273b42bb371a1b88edda2cc2d9a47bfb6c34d87bfff32557cc227c8d3f64,asacub,29.01
014fc04ae03a19b308d0b8691ec118d0c013f0966ac3fad7e2316e53cb090ebb,xhelper,44.78
01546ad7b1fe3143148dbca13e2cd7d38be5dd6dfe1fe41d4932b81150e53686,godfather,61.39
01568bdc539d40c58d9898d1743e29665f722ddc4f7644b1ceb317e783840a8f,HidenAd,82.08
0159eb849334758ca1994368c5770b7bcd49058b2ea069702757ef5302865836,hqwar,58.65
0162def83726db32a8d7713d2113f452714bfc57f1956a5de6a268587d0838a0,chuli,45.74
016568ab1afbc7259bc47cf9894e8660b4d15cbd23093af46b577e8109407fa7,HidenAd,80.79
0169579c199cd1724355df6332cbd83f6240649564ec9b085c1f9bde2830c8bb,hqwar,30.63
016c602caf1731d2d53e7f93dd41c04b26778a65c5c27e64a2f0c2c8d5fb87e0,kamran,43.22
